"date_added","counter"
1351692000000,1
1354284000000,1
1385820000000,1
1417356000000,2
1430402400000,1
1433080800000,1
1438351200000,1
1441029600000,1
1443621600000,2
1446300000000,1
1448892000000,5
1454248800000,3
1456754400000,8
1459432800000,4
1462024800000,2
1464703200000,2
1467295200000,4
1469973600000,1
1472652000000,5
1475244000000,11
1477922400000,2
1480514400000,7
1483192800000,10
1485871200000,12
1488290400000,34
1490968800000,12
1493560800000,14
1496239200000,12
1498831200000,10
1501509600000,18
1504188000000,16
1506780000000,22
1509458400000,11
1512050400000,20
1514728800000,23
1517407200000,7
1519826400000,27
1522504800000,15
1525096800000,20
1527775200000,9
1530367200000,33
1533045600000,52
1535724000000,18
1538316000000,36
1540994400000,34
1543586400000,27
1546264800000,27
1548943200000,32
1551362400000,38
1554040800000,43
1556632800000,34
1559311200000,34
1561903200000,19
1564581600000,26
1567260000000,28
1569852000000,38
1572530400000,70
1575122400000,63
1577800800000,62
1580479200000,21
1582984800000,20
1585663200000,52
1588255200000,42
1590933600000,33
1593525600000,38
1596204000000,23
1598882400000,36
1601474400000,33
1604152800000,28
1606744800000,36
1609423200000,37